id est revisit intree samplesize subclustercf subccs subapl netsize
1 0.321835 123 0 500 0.0113008 1 4.3411 1000
2 0.395634 107 0 500 0.011103 1 4.40043 1000
3 0.295233 130 0 500 0.0105039 1 4.32194 1000
4 0.450236 123 0 500 0.00574253 1 4.30395 1000
5 0.363657 136 0 500 0.00886098 1 4.52894 1000
6 0.376412 123 0 500 0.00943156 1 4.33659 1000
7 0.360991 108 0 500 0.00921607 1 4.37469 1000
8 0.303289 113 0 500 0.00522333 1 4.21428 1000
9 0.374354 140 0 500 0.00503748 1 4.25667 1000
10 0.335684 116 0 500 0.00871362 1 4.26035 1000
11 0.345582 141 0 500 0.0218856 1 3.93617 715
12 0.360939 147 0 500 0.00858655 1 3.92824 715
13 0.392648 146 0 500 0.0168929 1 3.94578 715
14 0.400087 164 0 500 0.0140637 1 3.91869 715
15 0.382214 139 0 500 0.0143892 1 3.9333 715
16 0.316293 150 0 500 0.0130858 1 3.83165 715
17 0.365745 163 0 500 0.0119272 1 3.96202 715
18 0.374138 146 0 500 0.0150246 1 3.91077 715
19 0.365827 147 0 500 0.0107806 1 3.92693 715
20 0.292553 150 0 500 0.0100952 1 3.86053 715
21 0.413147 190 0 500 0.0124904 1 3.69895 525
22 0.379797 189 0 500 0.0147399 1 3.52777 525
23 0.331622 200 0 500 0.0114574 1 3.66187 525
24 0.332786 198 0 500 0.0192177 1 3.66065 525
25 0.353979 200 0 500 0.0135919 1 3.6986 525
26 0.352395 193 0 500 0.0163897 1 3.53278 525
27 0.375375 176 0 500 0.0190757 1 3.56064 525
28 0.308031 182 0 500 0.0122864 1 3.65181 525
29 0.334694 184 0 500 0.0155937 1 3.64374 525
30 0.332216 194 0 500 0.0225276 1 3.70886 525
