id est revisit intree samplesize subclustercf subccs subapl netsize
1 0.359154 0 0 500 0.00788393 1 4.01934 1000
2 0.382317 0 0 500 0.0105104 1 4.09033 1000
3 0.321968 0 0 500 0.00842843 1 4.02042 1000
4 0.32613 0 0 500 0.00765788 1 3.9744 1000
5 0.314422 0 0 500 0.00566296 1 4.10946 1000
6 0.329494 0 0 500 0.00714185 1 3.99088 1000
7 0.33169 0 0 500 0.00783805 1 4.03947 1000
8 0.283258 0 0 500 0.0101805 1 4.01013 1000
9 0.381634 0 0 500 0.00843348 1 4.14605 1000
10 0.357984 0 0 500 0.00659351 1 4.08611 1000
11 0.350001 0 0 500 0.0191988 1 3.66891 715
12 0.345571 0 0 500 0.0114633 1 3.60853 715
13 0.343532 0 0 500 0.0152363 1 3.60609 715
14 0.352493 0 0 500 0.0152731 1 3.64142 715
15 0.357105 0 0 500 0.011056 1 3.67551 715
16 0.319331 0 0 500 0.011094 1 3.53935 715
17 0.339906 0 0 500 0.0149534 1 3.63293 715
18 0.392331 0 0 500 0.0108626 1 3.68464 715
19 0.330239 0 0 500 0.00875798 1 3.65394 715
20 0.364973 0 0 500 0.00838943 1 3.69401 715
21 0.381382 0 0 500 0.0124063 1 3.4645 525
22 0.371098 0 0 500 0.0145321 1 3.4239 525
23 0.398653 0 0 500 0.020636 1 3.45554 525
24 0.376723 0 0 500 0.01593 1 3.45648 525
25 0.366721 0 0 500 0.0132397 1 3.43848 525
26 0.385138 0 0 500 0.0180614 1 3.3737 525
27 0.398021 0 0 500 0.0172202 1 3.41334 525
28 0.397082 0 0 500 0.0106404 1 3.48844 525
29 0.347929 0 0 500 0.0170755 1 3.3923 525
30 0.375923 0 0 500 0.0130299 1 3.42407 525
