id est revisit intree samplesize subclustercf subccs subapl netsize
1 0.388186 170 69 500 0.0102505 1 4.25541 1000
2 0.337447 168 78 500 0.0128321 1 4.25041 1000
3 0.408464 176 90 500 0.0079659 1 4.53967 1000
4 0.452801 168 84 500 0.0110011 1 4.53895 1000
5 0.442093 176 79 500 0.00682687 1 4.39904 1000
6 0.40277 180 78 500 0.00574901 1 4.50831 1000
7 0.299967 170 67 500 0.00609428 1 4.27779 1000
8 0.376334 176 71 500 0.00791201 1 4.29893 1000
9 0.442886 187 79 500 0.0184792 1 4.44946 1000
10 0.456391 172 79 500 0.00466754 1 4.48876 1000
11 0.380624 184 83 500 0.0162171 1 3.88734 715
12 0.386274 191 73 500 0.0161831 1 3.91933 715
13 0.314785 196 83 500 0.0263317 1 3.94062 715
14 0.330465 195 77 500 0.00766849 1 3.83967 715
15 0.421529 227 93 500 0.0228123 1 4.18644 715
16 0.400361 211 74 500 0.0222332 1 3.97768 715
17 0.383818 197 82 500 0.0156849 1 4.01639 715
18 0.452677 190 89 500 0.0130645 1 4.00641 715
19 0.418321 231 97 500 0.0109075 1 3.98663 715
20 0.266275 221 81 500 0.00970535 1 3.84913 715
21 0.447135 234 91 500 0.0210038 1 3.80545 525
22 0.344417 244 82 500 0.0231464 1 3.67328 525
23 0.463322 219 93 500 0.0140852 1 3.73732 525
24 0.364785 231 73 500 0.0217392 1 3.63757 525
25 0.301914 227 82 500 0.0171635 1 3.68355 525
26 0.300621 227 80 500 0.0182883 1 3.60776 525
27 0.440061 231 80 500 0.0196895 1 3.63225 525
28 0.481264 244 87 500 0.0110026 1 3.76982 525
29 0.474032 248 83 500 0.0132249 1 3.71916 525
30 0.381068 222 80 500 0.0163485 1 3.7422 525
