id est revisit intree samplesize subclustercf subccs subapl netsize
1 0.344289 149 0 500 0.00871207 1 3.89705 1000
2 0.324103 127 0 500 0.00872165 1 4.06759 1000
3 0.312996 115 0 500 0.00660895 1 4.26705 1000
4 0.303083 119 0 500 0.0107695 1 4.06292 1000
5 0.31452 129 0 500 0.00838725 1 4.0917 1000
6 0.304008 117 0 500 0.0118839 1 3.99787 1000
7 0.308938 119 0 500 0.00993399 1 4.12821 1000
8 0.326704 119 0 500 0.00544686 1 4.05175 1000
9 0.326508 111 0 500 0.0134698 1 3.9545 1000
10 0.302133 131 0 500 0.0173541 1 4.1237 1000
11 0.315049 155 0 500 0.0158728 1 3.78377 715
12 0.305855 163 0 500 0.0228981 1 3.70796 715
13 0.342258 159 0 500 0.00878022 1 3.82332 715
14 0.315389 180 0 500 0.0158261 1 3.66736 715
15 0.306634 151 0 500 0.00861859 1 3.80618 715
16 0.346021 172 0 500 0.0157674 1 3.68065 715
17 0.339272 170 0 500 0.024979 1 3.6948 715
18 0.315452 159 0 500 0.013695 1 3.76395 715
19 0.32535 163 0 500 0.0193583 1 3.75302 715
20 0.2884 153 0 500 0.0130206 1 3.75954 715
21 0.306221 182 0 500 0.017265 1 3.50562 525
22 0.28022 190 0 500 0.0167878 1 3.51206 525
23 0.342235 192 0 500 0.0183082 1 3.42273 525
24 0.330008 207 0 500 0.0230988 1 3.4859 525
25 0.31 186 0 500 0.0265095 1 3.47351 525
26 0.34368 200 0 500 0.0241166 1 3.43608 525
27 0.32672 198 0 500 0.0227043 1 3.49383 525
28 0.272714 194 0 500 0.0204034 1 3.5053 525
29 0.28481 190 0 500 0.0290471 1 3.50561 525
30 0.305352 206 0 500 0.0183348 1 3.57498 525
