id est revisit intree samplesize subclustercf subccs subapl netsize
1 0.270178 0 0 500 0.01381 1 3.89198 1000
2 0.292182 0 0 500 0.0090708 1 3.89536 1000
3 0.25588 0 0 500 0.00525853 1 4.02625 1000
4 0.252937 0 0 500 0.00890988 1 3.93438 1000
5 0.274159 0 0 500 0.0118014 1 3.91364 1000
6 0.281424 0 0 500 0.0118926 1 3.90601 1000
7 0.250289 0 0 500 0.0109771 1 3.94616 1000
8 0.265163 0 0 500 0.0122917 1 3.94947 1000
9 0.261724 0 0 500 0.0150003 1 3.8316 1000
10 0.280128 0 0 500 0.0138625 1 3.98041 1000
11 0.223825 0 0 500 0.0113268 1 3.65731 715
12 0.227357 0 0 500 0.014286 1 3.62578 715
13 0.247753 0 0 500 0.0133245 1 3.64257 715
14 0.229954 0 0 500 0.0139095 1 3.54762 715
15 0.218924 0 0 500 0.0104787 1 3.62721 715
16 0.219655 0 0 500 0.0145607 1 3.56668 715
17 0.242193 0 0 500 0.0121306 1 3.58511 715
18 0.233316 0 0 500 0.0119876 1 3.55792 715
19 0.231562 0 0 500 0.0178998 1 3.67931 715
20 0.241046 0 0 500 0.0107316 1 3.58705 715
21 0.195579 0 0 500 0.0152929 1 3.37221 525
22 0.196823 0 0 500 0.0143069 1 3.43271 525
23 0.197106 0 0 500 0.0146485 1 3.40441 525
24 0.185979 0 0 500 0.0175743 1 3.45989 525
25 0.206293 0 0 500 0.0167828 1 3.33823 525
26 0.209293 0 0 500 0.0192811 1 3.33911 525
27 0.193463 0 0 500 0.0191488 1 3.40612 525
28 0.198769 0 0 500 0.0187006 1 3.37642 525
29 0.199637 0 0 500 0.0205673 1 3.33196 525
30 0.195792 0 0 500 0.0153456 1 3.37287 525
