id est revisit intree samplesize subclustercf subccs subapl netsize
1 0.363022 207 107 500 0.0118398 1 4.21761 1000
2 0.332761 191 84 500 0.01088 1 4.18495 1000
3 0.310302 168 80 500 0.0176403 1 4.16986 1000
4 0.295703 173 78 500 0.0174855 1 4.17677 1000
5 0.293731 188 70 500 0.00824708 1 4.11866 1000
6 0.323807 186 88 500 0.00834092 1 4.17629 1000
7 0.341271 170 73 500 0.0174459 1 4.2268 1000
8 0.346423 177 80 500 0.00860529 1 4.22553 1000
9 0.367061 160 61 500 0.017917 1 4.02821 1000
10 0.237841 177 83 500 0.00942284 1 4.30735 1000
11 0.33569 215 90 500 0.0166393 1 3.87156 715
12 0.336966 195 68 500 0.0113784 1 3.73624 715
13 0.308499 202 79 500 0.011407 1 3.88625 715
14 0.338191 210 72 500 0.0148256 1 3.69295 715
15 0.335809 213 67 500 0.0105416 1 3.91662 715
16 0.37659 211 78 500 0.0112797 1 3.66708 715
17 0.352412 210 74 500 0.023561 1 3.76485 715
18 0.332036 201 57 500 0.0193886 1 3.68304 715
19 0.341713 199 82 500 0.0164456 1 3.85391 715
20 0.321775 200 65 500 0.0109387 1 3.82359 715
21 0.301237 234 84 500 0.018378 1 3.54133 525
22 0.369396 247 82 500 0.0126706 1 3.52939 525
23 0.340101 227 71 500 0.0208943 1 3.56871 525
24 0.308364 236 87 500 0.0192902 1 3.53272 525
25 0.343126 234 67 500 0.0277772 1 3.46551 525
26 0.324433 229 73 500 0.0230957 1 3.51759 525
27 0.316099 230 67 500 0.0268685 1 3.50734 525
28 0.354522 234 72 500 0.0223641 1 3.42301 525
29 0.313352 224 69 500 0.0277911 1 3.54469 525
30 0.305184 229 74 500 0.0188185 1 3.52038 525
